sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-11-19;496,00;525,00;500,00;505,00;496,00;505,00;501,355;1322290;662258977;14;
2021-11-18;494,00;505,00;482,00;505,00;482,00;500,00;491,29;3753660;1844136400;20;
2021-11-17;478,00;480,00;482,00;482,00;478,00;478,00;481,194;125218;60254204;4;
2021-11-16;480,00;488,00;486,00;490,00;484,00;484,00;485,083;382570;185578180;8;
2021-11-15;484,00;505,00;484,00;490,00;484,00;490,00;489,927;81524;39940816;6;
2021-11-12;484,00;490,00;494,00;494,00;486,00;487,00;489,557;342850;167844500;9;
2021-11-11;494,00;498,00;495,00;498,00;495,00;498,00;495,003;480450;237824100;4;
2021-11-10;492,00;496,00;510,00;510,00;492,00;492,00;498,858;2886941;1452986154;60;
2021-11-09;494,00;498,00;498,00;498,00;494,00;498,00;496,033;518600;257242800;8;
2021-11-08;498,00;500,00;498,00;500,00;498,00;500,00;498,178;29640;14766000;4;
2021-11-05;498,00;505,00;505,00;505,00;498,00;498,00;499,264;34353;17278265;6;
2021-11-04;500,00;505,00;510,00;510,00;505,00;505,00;505,261;120562;60915220;14;
2021-11-03;500,00;505,00;496,00;510,00;496,00;510,00;502,997;1646680;828274495;41;
2021-11-02;488,00;492,00;468,00;492,00;468,00;492,00;479,716;3154451;1513241684;59;
2021-11-01;458,00;464,00;450,00;462,00;450,00;462,00;455,728;1170172;531751300;18;
2021-10-29;446,00;448,00;446,00;448,00;446,00;446,00;446,006;906570;404833960;8;
2021-10-28;446,00;450,00;448,00;448,00;448,00;448,00;448,00;70358;31520384;5;
2021-10-27;446,00;450,00;452,00;452,00;446,00;448,00;446,577;70169;31335864;5;
2021-10-26;450,00;452,00;454,00;456,00;450,00;450,00;451,765;113374;51218444;7;
2021-10-25;454,00;458,00;454,00;458,00;452,00;458,00;454,349;129406;58795512;9;
2021-10-22;448,00;454,00;460,00;460,00;452,00;452,00;453,05;119886;54314360;8;
2021-10-21;456,00;460,00;462,00;462,00;454,00;454,00;461,967;125319;57893280;6;
2021-10-20;462,00;466,00;464,00;466,00;458,00;466,00;463,974;107415;49837750;8;
2021-10-19;464,00;470,00;470,00;470,00;464,00;470,00;468,702;240029;112502092;9;
2021-10-18;472,00;478,00;478,00;478,00;472,00;472,00;474,409;300770;142688060;6;
2021-10-15;476,00;484,00;480,00;482,00;478,00;482,00;479,659;117204;56217920;8;
2021-10-14;476,00;484,00;476,00;484,00;476,00;478,00;478,505;680625;325682500;7;
2021-10-13;468,00;474,00;472,00;474,00;468,00;468,00;470,635;101577;47788198;7;
2021-10-12;466,00;474,00;470,00;470,00;466,00;468,00;469,265;156203;73300598;3;
2021-10-11;466,00;474,00;466,00;474,00;466,00;466,00;469,813;230065;108087530;9;
2021-10-08;466,00;468,00;460,00;466,00;460,00;466,00;465,975;246261;114751554;9;
2021-10-07;460,00;468,00;464,00;470,00;462,00;466,00;464,218;651358;302372076;14;
2021-10-06;456,00;464,00;462,00;464,00;456,00;464,00;461,823;234776;108425056;11;
2021-10-05;464,00;470,00;470,00;470,00;466,00;466,00;467,992;26200;12261400;5;
2021-10-04;470,00;476,00;476,00;480,00;470,00;470,00;476,39;812217;387854200;13;
2021-10-01;476,00;478,00;462,00;478,00;462,00;478,00;469,237;777836;364989152;25;
2021-09-30;454,00;460,00;443,00;462,00;443,00;458,00;452,164;1369614;620466080;28;
2021-09-29;440,00;444,00;438,00;442,00;438,00;442,00;441,178;781699;344809262;9;
2021-09-28;436,00;442,00;442,00;442,00;440,00;440,00;440,004;1031736;453967312;10;
2021-09-27;438,00;442,00;438,00;444,00;434,00;442,00;440,248;753113;331556614;18;
2021-09-24;426,00;430,00;426,00;428,00;426,00;426,00;427,555;503441;215248666;9;
2021-09-23;422,00;428,00;428,00;428,00;426,00;426,00;427,012;101175;43202900;5;
2021-09-22;426,00;430,00;426,00;430,00;426,00;428,00;427,374;693024;296180320;9;
2021-09-21;418,00;424,00;430,00;436,00;422,00;424,00;429,466;695625;299000950;21;
2021-09-20;412,00;416,00;418,00;418,00;412,00;412,00;415,295;129136;53629534;15;
2021-09-17;422,00;430,00;422,00;422,00;422,00;422,00;422,00;10000;4220000;1;
