sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-11-19;65,50;66,00;65,50;66,00;65,50;66,00;65,503;3672850;240581675;14;
2021-11-18;65,00;66,00;65,00;65,50;65,00;65,50;65,495;2211000;144808500;17;
2021-11-17;65,00;65,50;64,50;65,50;64,50;65,50;64,923;2304500;149613662;13;
2021-11-16;64,50;65,00;65,50;65,50;65,00;65,00;65,001;851208;55329020;7;
2021-11-15;64,50;65,00;63,50;65,50;63,50;65,50;64,523;4335411;279735549;16;
2021-11-12;63,00;64,00;63,50;64,00;63,50;64,00;63,509;524590;33316260;5;
2021-11-11;63,00;64,00;64,50;64,50;63,50;63,50;63,505;603000;38293500;4;
2021-11-10;64,00;64,50;64,50;65,00;63,50;64,50;64,057;1931117;123700679,5;10;
2021-11-09;64,50;65,50;65,00;65,00;64,00;65,00;64,318;2835525;182375930;7;
2021-11-08;65,00;65,50;65,00;65,50;65,00;65,50;65,001;3630655;235994575;10;
2021-11-05;64,50;65,50;63,50;65,00;63,50;65,00;64,09;4206000;269562000;9;
2021-11-04;63,50;64,50;65,00;65,50;64,00;64,00;64,864;3509633;227217461,5;11;
2021-11-03;65,00;65,50;64,00;65,50;64,00;65,00;64,472;15333395;988569247,5;23;
2021-11-02;63,50;64,00;64,00;64,50;63,50;64,00;64,008;4605405;294781907,5;10;
2021-11-01;64,00;64,50;64,00;64,50;63,25;64,25;63,736;4570856;291357135,5;27;
2021-10-29;63,50;64,00;64,50;64,50;64,00;64,00;64,356;733350;47189625;5;
2021-10-28;64,00;65,00;64,50;65,00;64,00;65,00;64,472;3114500;200840075;12;
2021-10-27;64,50;65,00;64,00;64,50;64,00;64,50;64,059;3622420;231953205;18;
2021-10-26;63,50;64,00;64,00;64,00;63,50;64,00;63,799;2514500;160423000;7;
2021-10-25;63,50;64,50;64,00;64,50;63,75;63,75;63,965;5321184;340368663,5;12;
2021-10-22;63,50;64,00;63,50;64,00;63,50;64,00;63,564;3599629;228794741,5;15;
2021-10-21;63,00;63,50;63,50;63,50;62,50;63,50;63,182;4544361;287123759;15;
2021-10-20;62,50;63,50;65,00;65,00;62,00;63,50;63,081;9721792;613250712,5;47;
2021-10-19;64,00;65,00;65,00;65,50;64,50;64,50;65,00;481400;31270000;7;
2021-10-18;64,00;65,00;64,50;65,00;64,00;64,50;64,476;4394800;283359000;15;
2021-10-15;65,00;65,50;64,50;65,50;64,00;65,50;64,162;3820832;245151565;16;
2021-10-14;64,00;64,50;64,00;64,50;64,00;64,00;64,001;3504672;224303708;17;
2021-10-13;63,00;63,50;63,00;63,50;62,50;63,25;63,03;2308093;145478503;11;
2021-10-12;63,00;63,50;63,50;63,50;63,25;63,25;63,273;330000;20880000;3;
2021-10-11;62,00;64,00;64,00;64,00;63,00;63,00;63,512;531060;33728630;9;
2021-10-08;64,00;64,50;64,00;64,00;64,00;64,00;64,00;500000;32000000;1;
2021-10-07;64,00;64,50;64,00;64,00;63,50;64,00;63,999;1036160;66312990;6;
2021-10-06;63,50;64,50;63,50;64,00;63,00;64,00;63,624;1083000;68905250;12;
2021-10-05;63,50;64,50;65,00;65,00;64,00;64,00;64,519;649312;41892843;9;
2021-10-04;65,00;66,00;67,00;67,00;65,00;66,00;65,349;6154793;402208338;13;
2021-10-01;66,50;67,00;66,00;67,00;66,00;66,75;66,388;8364887;552593206,5;11;
2021-09-30;65,00;66,00;65,50;66,00;65,50;65,50;65,501;2401100;158022600;5;
2021-09-29;65,00;66,00;64,75;66,00;64,75;66,00;65,27;964990;62985090;11;
2021-09-28;64,50;65,50;66,00;66,00;65,00;65,00;65,224;4220300;276948285;13;
2021-09-27;65,00;66,00;65,50;66,00;64,50;66,00;65,439;3915195;256206920;17;
2021-09-24;63,50;64,00;62,50;64,00;62,50;63,50;63,114;2169862;137010468;17;
2021-09-23;62,00;63,00;63,50;63,50;62,50;62,50;63,189;1378500;87106250;7;
2021-09-22;62,50;63,50;62,75;63,00;62,50;63,00;62,843;4374000;274875000;13;
2021-09-21;61,50;62,50;63,00;63,50;61,50;62,50;62,38;5758960;359241500;35;
2021-09-20;61,50;62,00;62,00;62,00;61,00;61,50;61,44;6470030;397519165;36;
2021-09-17;63,00;64,00;63,50;63,50;63,50;63,50;63,50;1000000;63500000;1;
2021-09-16;63,50;64,00;62,50;64,00;62,50;64,00;63,395;7451500;471595250;11;
2021-09-15;61,00;62,00;62,50;62,50;61,00;61,50;61,243;4168720;255302780;18;
2021-09-14;62,50;63,00;64,00;64,50;62,50;62,50;63,297;2451479;155170441,5;15;
2021-09-13;63,50;64,00;64,00;64,00;64,00;64,00;64,00;224000;14336000;5;
2021-09-10;64,50;65,00;64,50;64,50;64,50;64,50;64,50;1745607;112595301,5;5;
2021-09-09;63,50;64,50;63,50;64,00;63,50;64,00;63,75;1000312;63769968;7;
2021-09-08;64,50;65,00;66,00;66,00;64,75;64,75;65,201;936886;61085890;11;
2021-09-07;65,00;66,00;65,80;66,00;65,50;66,00;65,798;4285900;282000840;10;
2021-09-06;65,50;66,00;66,50;67,00;65,80;65,80;66,152;3392246;216974982;13;
2021-09-03;65,50;66,50;66,00;66,50;66,00;66,00;66,00;2648746;174818336;7;
2021-09-02;65,00;66,00;66,00;66,00;65,50;65,50;65,503;1251554;81980814;8;
2021-09-01;65,00;65,50;65,00;65,50;65,00;65,50;65,10;5721764;373528147,2;13;
2021-08-31;65,10;65,40;65,00;65,10;64,65;65,10;65,022;4357145;283304822,7;10;
2021-08-30;64,30;65,00;65,00;65,50;64,60;65,00;64,917;3851358;250061466;16;
2021-08-27;64,20;64,70;63,00;64,60;63,00;64,60;63,709;11930333;760075422,4;45;
2021-08-26;62,80;63,10;63,40;63,40;62,70;63,20;62,982;1352140;85160395,2;8;
2021-08-25;62,50;64,00;62,30;62,90;62,30;62,90;62,527;3508513;219377217,85;15;
2021-08-24;62,00;62,30;61,60;62,30;61,60;62,30;62,00;2010845;124672543,5;8;
2021-08-23;61,70;62,40;61,95;62,05;61,50;61,85;62,037;1093500;67837475;4;
2021-08-20;61,50;62,40;62,00;62,00;61,70;61,70;61,822;531000;32827500;3;
2021-08-19;61,50;62,20;61,10;62,30;61,00;62,30;61,436;2269427;139423608,1;10;
2021-08-18;61,50;62,10;62,70;62,70;62,00;62,00;62,107;1289500;79953400;8;
2021-08-17;62,70;63,00;62,60;63,00;62,60;62,70;62,567;3508425;219510195;7;
2021-08-16;63,00;63,30;62,30;63,15;62,30;63,15;62,62;1564990;97998866,9;11;
2021-08-13;61,50;62,20;61,60;62,00;61,50;62,00;61,751;15208000;939107900;23;
2021-08-12;60,90;61,70;60,60;61,70;60,20;61,30;60,581;4662147;281875009,9;15;
2021-08-11;60,50;60,60;60,80;60,80;60,00;60,60;60,381;1773094;107060254,2;15;
2021-08-10;60,80;61,50;60,00;60,90;60,00;60,90;60,288;6951000;419059901,4;13;
2021-08-09;60,00;60,40;60,90;60,90;59,60;59,60;59,999;1477392;88641863,4;12;
2021-08-06;60,10;60,60;61,80;61,90;60,50;60,90;60,765;1020873;62033295,1;12;
2021-08-05;61,90;62,00;61,70;62,00;61,70;61,90;61,71;1690475;104319123,2;14;
2021-08-04;61,20;61,70;61,30;61,70;61,20;61,70;61,279;4043397;247779396,8;17;
2021-08-03;60,70;61,40;61,30;61,30;60,70;60,70;60,929;23197;1413370;4;
2021-07-30;60,70;60,80;60,80;60,80;60,75;60,75;60,799;311993;18968809,4;4;
2021-07-29;60,80;61,10;;;;60,80;;;;0;
2021-07-28;60,80;61,40;60,80;60,80;60,80;60,80;60,80;1644;99955,2;1;
2021-07-27;60,80;60,90;61,30;61,30;60,90;60,90;60,978;21100;1286630;2;
2021-07-26;60,80;61,30;61,40;61,40;60,80;60,80;60,857;18000;1095420;2;
2021-07-23;61,20;61,40;61,00;61,20;61,00;61,20;61,001;2300786;141148103,2;3;
2021-07-22;61,00;61,40;61,70;61,70;61,00;61,00;61,40;5207300;317325300;6;
2021-07-21;61,70;62,60;61,80;61,80;61,70;61,70;61,797;3422800;211519040;4;
2021-07-20;61,80;62,50;62,30;62,50;61,80;61,80;62,312;1133803;70649018,3;13;
2021-07-19;62,30;63,00;63,90;63,90;63,00;63,00;63,287;1406750;89029325;5;
2021-07-16;63,10;63,80;63,90;63,90;63,45;63,80;63,711;1174174;74808321,2;11;
2021-07-15;63,00;63,60;63,60;63,60;63,10;63,60;63,49;86250;5473070;6;
2021-07-14;63,20;63,70;62,80;63,70;62,80;63,70;63,123;1607740;101485992,5;9;
2021-07-13;62,00;62,70;62,00;62,45;62,00;62,40;62,449;1819500;113625380;7;
2021-07-12;62,10;62,90;62,90;62,90;62,50;62,50;62,506;623498;38972104,2;7;
2021-07-09;62,60;62,90;62,80;62,90;62,70;62,75;62,796;1412449;88705992,1;8;
2021-07-08;62,00;62,70;62,20;62,40;62,20;62,35;62,21;326300;20299260;5;
2021-07-07;62,80;63,20;63,20;63,20;62,80;62,80;62,812;515800;32398560;2;
2021-07-06;62,40;63,20;62,60;63,20;62,60;62,80;62,686;2530329;158615292,8;6;
2021-07-05;62,40;63,10;62,20;63,00;62,20;63,00;62,798;4504991;282447529;13;
2021-07-02;62,00;62,40;62,00;62,20;61,90;62,20;62,009;668113;41428856;6;
2021-07-01;62,00;62,50;63,60;63,60;62,20;62,20;62,899;5190934;327202291,4;22;
2021-06-30;63,00;63,70;63,50;64,00;63,20;63,20;63,663;5961508;379833560,6;22;
2021-06-29;63,40;63,80;63,90;63,90;63,20;63,40;63,327;4059448;257071670,4;8;
2021-06-28;63,70;63,80;63,80;63,90;63,00;63,80;63,49;7760640;492699332,2;38;
2021-06-25;62,90;63,50;61,70;63,10;61,70;63,10;62,371;8164773;507006251,1;17;
2021-06-24;61,80;62,20;62,30;62,70;61,60;61,80;62,064;5795650;359728255;24;
2021-06-23;61,30;61,60;61,50;61,90;61,30;61,40;61,569;2093200;128876190;9;
2021-06-22;61,00;61,90;60,00;61,90;60,00;61,50;60,949;6822711;415834030;24;
2021-06-21;60,00;60,80;59,00;60,90;59,00;60,00;60,124;4733406;284590763;15;
2021-06-18;59,00;59,60;59,00;59,00;59,00;59,00;59,00;43403;2560777;4;
2021-06-16;59,60;59,80;59,90;60,00;59,10;59,60;59,464;5112805;304028375,1;19;
2021-06-15;59,30;59,90;59,10;59,90;59,10;59,90;59,248;2627850;155694935;12;
2021-06-14;58,80;59,30;59,10;59,30;59,05;59,10;59,064;1477300;87255430;6;
2021-06-11;58,80;59,40;58,50;59,30;58,50;59,30;59,209;394400;23351920;5;
2021-06-10;58,50;59,30;58,55;59,00;58,35;59,00;58,763;4600000;270311500;11;
2021-06-09;58,20;58,90;58,60;58,60;58,20;58,20;58,596;1514900;88767680;6;
2021-06-08;58,20;58,70;58,00;58,00;58,00;58,00;58,00;1113;64554;1;
2021-06-07;58,00;58,70;58,40;59,20;58,00;58,35;58,437;577435;33743394;11;
2021-06-04;58,30;59,10;59,00;59,00;58,30;58,30;58,838;130025;7650457,5;2;
2021-06-03;59,60;60,30;59,90;60,00;59,90;59,90;59,901;716700;42931330;5;
2021-06-02;60,40;60,50;60,30;60,50;60,30;60,40;60,421;9530700;574926950;13;
2021-06-01;59,80;60,30;59,85;59,85;59,85;59,85;59,85;24581;1471632,85;2;
2021-05-31;59,40;60,00;59,50;59,90;59,30;59,90;59,60;600000;35760101,4;3;
2021-05-28;59,30;60,00;60,80;60,80;59,30;59,30;60,298;993495;59903851;6;
2021-05-27;60,40;60,90;61,20;61,20;60,60;60,90;60,919;2511679;152921251,1;8;
2021-05-26;61,20;62,00;62,20;62,20;61,30;61,40;61,725;2448213;151114933,1;15;
2021-05-25;62,00;62,30;62,60;63,00;62,00;62,00;62,41;2823571;176218066;13;
2021-05-21;61,50;62,20;61,70;61,80;61,50;61,80;61,61;4269483;263043809,4;10;
2021-05-20;60,80;61,60;60,20;61,60;60,20;61,60;60,732;6047953;363271320,1;16;
2021-05-19;59,80;60,50;60,00;60,30;59,50;60,30;60,101;3075974;184868434,8;14;
2021-05-18;59,30;60,00;60,00;60,00;59,30;59,30;59,859;21284;1274041,2;2;
2021-05-17;59,30;60,10;59,00;59,80;59,00;59,65;59,672;4504948;268845653,4;14;
2021-05-14;59,00;59,70;59,70;59,80;59,10;59,10;59,505;1684580;100241578;8;
2021-05-12;59,00;59,70;59,30;59,70;58,90;59,70;59,428;2827690;168044361;9;
2021-05-11;58,90;59,50;59,20;60,00;59,20;59,30;59,376;3982998;236493781,6;10;
2021-05-10;59,20;60,10;59,50;60,00;59,20;60,00;59,846;7033532;420884613,6;15;
2021-05-07;59,00;59,40;57,90;59,40;57,90;59,40;58,905;4471885;263414719;10;
2021-05-06;58,00;58,70;57,70;58,70;57,70;58,00;58,223;13339550;765800230;13;
2021-05-05;56,80;57,20;56,60;57,10;56,60;57,10;56,626;2829438;160220400,8;5;
2021-05-04;57,00;57,40;57,40;57,60;57,20;57,20;57,368;1815000;104122500;8;
2021-05-03;57,80;58,20;58,45;58,70;57,85;58,00;58,156;3863024;224693262;10;
2021-04-30;58,20;58,80;59,00;59,00;58,70;58,70;58,735;695500;40845956,6;6;
2021-04-29;59,10;59,80;60,00;60,00;59,30;59,45;59,651;4000221;238839487,7;9;
2021-04-28;59,40;60,10;59,60;60,70;59,40;60,00;59,95;4641020;278230735;15;
2021-04-27;59,60;60,40;60,50;60,50;60,00;60,00;60,231;3390494;204211138,8;10;
2021-04-26;60,10;61,00;60,00;61,50;60,00;60,50;60,433;7856355;474781877,5;31;
2021-04-23;59,20;59,80;59,00;59,60;59,00;59,60;59,549;1169821;69661613,2;7;
2021-04-21;58,70;59,40;59,10;59,10;58,75;59,10;58,92;2562863;151065203,3;11;
2021-04-20;58,60;59,00;58,70;58,70;58,70;58,70;58,697;2217000;130131100;5;
2021-04-19;57,80;58,60;57,80;58,50;57,80;58,50;57,888;1636800;94713260;6;
2021-04-16;58,10;58,80;58,40;58,40;58,00;58,40;58,044;5405090;313735820;9;
2021-04-15;57,90;58,40;58,40;58,40;57,80;57,90;58,135;357900;20799480;5;
2021-04-14;57,50;58,30;58,40;58,45;58,00;58,00;58,243;13929000;813563600;13;
2021-04-13;58,30;58,90;58,60;59,20;58,30;58,40;58,522;3423053;200323895,6;19;
2021-04-12;58,70;59,40;58,65;59,00;58,65;59,00;58,75;2100000;123375000;6;
2021-04-09;58,50;59,00;59,40;59,40;58,50;58,50;58,877;2002083;117876880,4;9;
2021-04-08;59,20;59,50;59,60;59,60;58,90;59,10;59,01;6498500;383478585;7;
2021-04-07;59,10;59,80;59,70;60,10;59,30;59,30;59,509;2171800;129241740;9;
2021-04-06;58,60;59,20;58,60;58,90;58,10;58,90;58,658;4091334;240036865,1;23;
2021-03-31;57,80;58,40;58,20;58,40;57,90;58,40;57,91;2058300;119196220;7;
2021-03-30;57,60;58,20;;;;57,60;;;;0;
2021-03-29;57,30;58,10;58,30;58,30;57,60;57,60;57,883;2402000;139035400;9;
2021-03-26;58,50;59,00;58,90;59,00;58,75;59,00;58,857;1954813;115053967;9;
2021-03-25;58,40;58,50;58,00;58,60;58,00;58,50;58,264;6788609;395538556,5;8;
2021-03-24;57,70;58,50;58,20;58,90;57,80;58,30;58,00;1721776;99864050,8;9;
2021-03-23;57,30;58,10;56,60;57,70;56,60;57,70;57,458;8350000;479770000;9;
2021-03-22;56,90;57,10;57,10;57,10;56,80;57,05;57,021;2116300;120673415;5;
2021-03-19;57,40;58,00;57,20;57,80;57,20;57,80;57,437;3240000;186158000;5;
2021-03-18;57,40;57,70;57,35;57,60;57,35;57,60;57,351;6502237;371678851,2;8;
2021-03-17;56,60;57,20;56,20;57,00;56,20;57,00;56,764;2960000;167842800,6;10;
2021-03-16;56,00;56,50;56,10;57,00;56,00;56,20;56,228;1984171;111565832;12;
2021-03-15;56,10;56,50;56,40;56,40;56,20;56,25;56,247;835000;46966500;5;
2021-03-12;56,40;57,00;56,90;56,90;56,70;56,70;56,891;91000;5177100;2;
2021-03-11;57,00;57,10;57,50;57,50;57,50;57,50;57,50;600350;34120125;3;
2021-03-10;56,90;57,50;57,20;57,80;57,20;57,20;57,276;1112000;63690600;5;
2021-03-09;56,90;57,20;56,30;56,90;56,30;56,90;56,609;5890059;333429357,1;9;
2021-03-08;56,00;56,20;56,00;56,20;56,00;56,10;56,049;8970000;502758500;8;
2021-03-05;55,90;56,40;56,60;56,60;55,90;55,90;55,902;7543060;421666196;10;
2021-03-04;56,00;56,60;55,90;56,60;55,90;56,60;55,977;2164800;121181240;5;
2021-03-03;55,70;56,50;56,20;56,70;55,70;55,70;56,131;1937496;108806987,7;12;
2021-03-02;56,00;56,80;56,80;56,80;56,40;56,40;56,764;3647400;207040940;14;
2021-03-01;56,90;57,60;57,30;57,60;56,90;56,90;57,113;892114;50946826,6;9;
2021-02-26;57,00;57,60;58,00;58,00;57,30;57,30;57,50;2500000;143750000;5;
2021-02-25;57,80;58,40;58,10;58,40;57,80;58,00;58,03;1715218;99533700,4;8;
2021-02-24;58,00;58,30;58,30;58,30;58,10;58,10;58,261;1296300;75524290;4;
2021-02-23;58,40;58,50;58,50;58,50;58,40;58,40;58,497;318500;18631400;2;
2021-02-22;58,40;59,00;58,95;58,95;58,95;58,95;58,95;182916;10782898,2;2;
2021-02-19;58,80;59,10;58,95;58,95;58,95;58,95;58,95;5600;330120;1;
2021-02-18;58,40;59,20;58,625;59,50;58,625;58,80;58,904;3096939;182893954,35;17;
2021-02-17;58,10;58,60;58,90;58,90;58,20;58,40;58,348;1668529;97354762,5;16;
2021-02-16;58,10;58,80;58,20;58,80;58,10;58,80;58,286;662800;38631470;10;
2021-02-15;58,40;58,70;58,50;59,10;58,40;58,40;58,452;1069900;62538160;9;
2021-02-12;58,40;59,10;59,50;60,00;58,40;58,40;59,194;1713780;101443843;13;
2021-02-11;59,50;59,90;60,00;60,00;59,20;59,50;59,501;734150;43682960;10;
2021-02-10;59,30;60,00;59,10;60,00;58,70;59,65;59,474;3227200;191935650;12;
2021-02-09;59,60;60,10;59,70;60,00;59,50;59,85;59,933;2113700;126679545;15;
2021-02-08;59,60;59,70;59,60;59,70;59,60;59,70;59,649;5826308;345728587,6;15;
2021-02-05;59,20;59,60;59,20;59,60;59,00;59,60;59,254;6399316;378567812;18;
2021-02-04;58,50;59,10;58,15;59,10;58,15;59,10;58,497;3718444;217515850;11;
2021-02-03;57,90;58,50;58,20;58,50;57,90;57,90;58,03;2284020;132548662;9;
2021-02-02;58,00;58,50;57,90;58,20;57,70;58,20;57,916;3212000;186026995;18;
2021-02-01;57,10;57,60;57,40;57,50;57,10;57,35;57,39;2906558;166806230;14;
2021-01-29;57,00;57,50;57,00;57,00;57,00;57,00;57,00;1049166;59802462;4;
2021-01-28;56,90;57,60;57,00;57,50;57,00;57,00;57,096;1274880;72790400;7;
2021-01-27;57,00;57,60;57,40;57,60;57,00;57,00;57,398;1574000;90344600;7;
2021-01-26;57,10;57,60;56,65;57,40;56,65;57,40;57,297;2202748;126654200,7;8;
2021-01-25;56,70;56,90;56,50;56,90;56,30;56,90;56,467;3387371;191276139,6;14;
2021-01-22;55,00;58,20;57,95;57,95;57,50;57,50;57,68;2813500;162103450;7;
2021-01-21;58,00;58,40;58,20;58,40;57,80;58,00;57,954;3056000;177029200;9;
2021-01-20;58,20;58,50;58,20;58,50;58,20;58,50;58,333;3108352;181157393,2;7;
2021-01-19;57,80;58,40;58,80;59,00;58,20;58,20;58,551;4706186;275553880,6;14;
2021-01-18;58,20;58,50;58,20;58,20;58,20;58,20;58,20;152600;8881710;2;
2021-01-15;58,10;58,50;58,70;58,70;57,70;58,40;58,13;6816500;396446235,5;29;
2021-01-14;59,60;60,40;60,00;60,20;59,80;59,80;59,839;5115633;300954120;9;
2021-01-13;59,30;59,80;59,60;59,60;59,50;59,50;59,502;304555;18121478;2;
2021-01-12;59,30;60,20;60,50;60,50;59,30;59,30;59,895;381822;22869144,6;4;
2021-01-11;59,60;60,40;59,30;60,00;59,30;60,00;59,763;9741716;582193068,8;7;
2021-01-08;59,30;60,10;60,00;60,00;59,40;60,00;59,521;2940732;175033920;8;
2021-01-07;59,70;60,50;61,40;61,90;60,10;60,20;60,948;5092920;310266926;18;
2021-01-06;60,60;61,20;61,30;61,30;60,50;61,00;60,922;2872013;174969836,9;5;
2021-01-05;60,50;61,10;60,60;61,30;60,60;61,10;60,733;2363486;143548363,6;17;
2021-01-04;60,60;61,50;60,40;61,50;60,40;61,00;60,978;7711033;467088329,5;17;
2020-12-30;59,80;60,10;60,20;60,20;59,40;60,10;59,791;5231914;314007956,4;11;
2020-12-29;59,80;60,00;59,50;60,10;59,50;60,00;59,828;1804800;107942635;14;
2020-12-28;59,30;59,60;58,50;59,60;58,50;59,60;58,825;3015000;177358000;9;
2020-12-23;58,00;58,50;58,50;58,70;58,10;58,50;58,484;3750119;219322473,4;10;
2020-12-22;58,70;58,80;58,00;58,70;58,00;58,70;58,352;2852995;166477110;7;
2020-12-21;57,60;58,00;58,60;58,60;57,20;57,60;57,914;4155900;240685240;13;
2020-12-18;58,60;59,20;;;;58,60;;6867490;402434914;2;
2020-12-17;58,60;59,20;59,40;59,80;58,60;58,60;59,208;4053910;240025488,2;15;
2020-12-16;58,40;59,20;60,00;60,20;58,70;58,70;59,305;10493200;621404990;19;
2020-12-15;60,00;60,20;60,00;60,40;59,60;60,00;59,999;4163000;249777000;10;
2020-12-14;59,20;59,50;58,80;59,50;58,80;59,50;59,017;4256850;251224205;11;
2020-12-11;58,30;58,50;58,40;58,50;58,30;58,50;58,427;2670000;155999000;7;
2020-12-10;58,10;58,80;58,50;58,80;58,30;58,80;58,553;4333500;253555950;15;
2020-12-09;58,30;58,40;58,10;58,40;58,10;58,40;58,215;1942362;113073940,8;8;
2020-12-08;57,50;58,00;57,70;58,00;57,50;58,00;57,751;2375300;137175450;13;
2020-12-07;57,10;57,40;57,30;57,80;57,30;57,50;57,534;1574059;90561114,5;9;
2020-12-04;57,30;58,00;57,00;58,10;57,00;57,30;57,523;5523491;317730119,1;26;
2020-12-03;56,40;56,70;55,70;56,70;55,70;56,40;56,286;4786844;269429889,85;21;
2020-12-02;55,00;55,60;55,40;55,60;54,90;55,25;55,372;4131539;228498105,3;16;
2020-12-01;55,00;55,40;54,60;55,60;54,60;55,30;55,106;6081667;335135539,3;19;
2020-11-30;54,20;54,30;53,90;54,30;53,80;54,30;53,953;4658907;251361388,1;22;
2020-11-27;53,50;54,00;53,70;53,70;53,30;53,50;53,617;1703810;91353073;4;
2020-11-26;53,60;54,20;54,00;54,30;53,70;53,70;53,996;2376620;128327720;6;
2020-11-25;53,20;53,70;52,75;53,70;52,75;53,70;53,279;4022567;214319172,9;10;
2020-11-24;52,50;53,10;52,30;53,10;52,30;52,70;52,699;2060450;108583535;13;
2020-11-23;52,00;52,70;53,10;53,10;52,30;52,30;52,638;1537732;80943759,2;8;
2020-11-20;52,70;53,10;53,85;53,85;52,90;53,00;53,219;3119615;166022021;18;
2020-11-19;53,60;54,10;54,10;54,10;53,60;53,85;53,809;3405700;183256660;11;
2020-11-18;53,50;54,10;53,80;53,80;53,50;53,50;53,80;974900;52449350;5;
2020-11-17;53,20;53,90;54,00;54,20;53,60;53,60;53,878;1215500;65489100;7;
2020-11-16;53,50;54,00;53,25;53,80;53,25;53,70;53,636;1240000;66509000;7;
2020-11-13;52,80;53,60;53,20;53,40;53,20;53,20;53,202;4816500;256249100;11;
2020-11-12;53,00;53,60;54,40;54,50;52,90;53,20;53,734;2076242;111563668,8;11;
2020-11-11;54,00;54,80;54,30;54,80;53,80;54,80;54,348;2354516;127962796,5;14;
