sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-11-19;1,66;1,675;1,73;1,73;1,65;1,67;1,68;81576724;137015972,55;57;
2021-11-18;1,705;1,71;1,69;1,73;1,665;1,71;1,712;31802238;54450109,63;37;
2021-11-17;1,68;1,69;1,69;1,70;1,665;1,68;1,679;10915081;18331005,29;44;
2021-11-16;1,69;1,70;1,71;1,71;1,675;1,69;1,685;28907570;48711385,51;43;
2021-11-15;1,705;1,72;1,73;1,755;1,705;1,705;1,735;29615585;51370783,55;62;
2021-11-12;1,71;1,72;1,665;1,73;1,65;1,73;1,695;74477714;126256562,99;72;
2021-11-11;1,69;1,70;1,72;1,72;1,69;1,69;1,702;39397205;67070522,94;48;
2021-11-10;1,71;1,735;1,77;1,77;1,71;1,723;1,728;27723206;47906146,33;53;
2021-11-09;1,755;1,77;1,78;1,80;1,755;1,765;1,79;178553906;319625511,38;68;
2021-11-08;1,745;1,79;1,70;1,79;1,70;1,76;1,753;103223850;180952743,9;67;
2021-11-05;1,68;1,70;1,725;1,73;1,66;1,70;1,695;136151205;230816292,79;112;
2021-11-04;1,73;1,75;1,78;1,78;1,71;1,73;1,74;171669915;298771156,82;98;
2021-11-03;1,78;1,795;1,80;1,82;1,78;1,78;1,799;114465272;205784247,84;106;
2021-11-02;1,76;1,79;1,76;1,79;1,74;1,78;1,769;161575125;286206363,96;74;
2021-11-01;1,74;1,75;1,74;1,77;1,72;1,745;1,747;97939749;171192455,4;87;
2021-10-29;1,73;1,75;1,74;1,76;1,72;1,75;1,739;150933432;262518609,15;77;
2021-10-28;1,735;1,755;1,77;1,77;1,70;1,74;1,746;32284532;56372554,34;59;
2021-10-27;1,77;1,785;1,75;1,795;1,73;1,77;1,765;82240708;145171575,17;73;
2021-10-26;1,755;1,775;1,835;1,86;1,75;1,755;1,814;138563564;251372871,76;123;
2021-10-25;1,83;1,85;1,82;1,85;1,795;1,83;1,844;453650083;837465492,86;118;
2021-10-22;1,805;1,81;1,77;1,85;1,755;1,81;1,803;448997882;809461950,09;149;
2021-10-21;1,75;1,765;1,75;1,785;1,715;1,765;1,766;549099461;969547903,31;302;
2021-10-20;1,68;1,695;1,69;1,70;1,675;1,68;1,686;16133852;27191099,42;59;
2021-10-19;1,69;1,70;1,73;1,74;1,675;1,70;1,708;71486139;122105040,76;84;
2021-10-18;1,73;1,735;1,72;1,75;1,72;1,73;1,739;472927166;820225760,03;249;
2021-10-15;1,68;1,69;1,65;1,69;1,65;1,69;1,685;104531093;176123488,01;89;
2021-10-14;1,65;1,655;1,64;1,67;1,64;1,65;1,654;49643574;82055289,72;51;
2021-10-13;1,635;1,65;1,61;1,66;1,61;1,66;1,637;112529926;182911456,59;64;
2021-10-12;1,59;1,61;1,62;1,62;1,59;1,61;1,601;68229747;109254803,65;45;
2021-10-11;1,63;1,64;1,65;1,65;1,62;1,64;1,632;15213372;24826693,22;46;
2021-10-08;1,65;1,67;1,69;1,69;1,65;1,66;1,666;40185285;66960922,23;90;
2021-10-07;1,68;1,69;1,63;1,70;1,63;1,69;1,665;239345529;398696836,83;173;
2021-10-06;1,615;1,63;1,60;1,64;1,595;1,63;1,615;83877928;135442428,06;68;
2021-10-05;1,58;1,60;1,64;1,64;1,58;1,60;1,614;159651983;257369610,91;92;
2021-10-04;1,60;1,64;1,52;1,65;1,50;1,62;1,558;606915105;956098809,79;178;
2021-10-01;1,51;1,52;1,50;1,53;1,49;1,52;1,507;47401542;71445368,91;55;
2021-09-30;1,505;1,525;1,49;1,525;1,47;1,525;1,496;95251552;143074340,92;68;
2021-09-29;1,47;1,49;1,50;1,50;1,47;1,485;1,487;23492971;34939659,67;29;
2021-09-28;1,47;1,51;1,47;1,52;1,47;1,49;1,488;78400110;116654430,62;56;
2021-09-27;1,47;1,48;1,48;1,52;1,48;1,49;1,498;57168999;85608868,89;76;
2021-09-24;1,465;1,47;1,46;1,48;1,46;1,465;1,468;17268099;25306889,67;29;
2021-09-23;1,46;1,47;1,47;1,50;1,46;1,46;1,478;19117635;28255464,98;26;
2021-09-22;1,47;1,475;1,48;1,48;1,46;1,475;1,47;40132630;58994630,7;31;
2021-09-21;1,45;1,465;1,50;1,52;1,45;1,45;1,487;49607762;73752334,89;95;
2021-09-20;1,47;1,475;1,43;1,475;1,33;1,475;1,438;230549044;331637556,43;172;
2021-09-17;1,43;1,44;1,47;1,47;1,42;1,44;1,427;108361057;154629532,12;47;
2021-09-16;1,455;1,465;1,46;1,47;1,44;1,455;1,456;16138110;23516092,22;26;
2021-09-15;1,44;1,46;1,48;1,50;1,44;1,45;1,465;83215972;121926074,95;54;
2021-09-14;1,46;1,48;1,48;1,48;1,46;1,47;1,466;17194093;25212626,54;25;
2021-09-13;1,46;1,48;1,47;1,50;1,46;1,46;1,486;53594822;79652809,88;50;
2021-09-10;1,47;1,48;1,49;1,49;1,47;1,48;1,477;16272054;24038994,81;23;
2021-09-09;1,47;1,48;1,49;1,50;1,47;1,48;1,491;32632708;48651836,04;28;
2021-09-08;1,49;1,50;1,47;1,51;1,47;1,50;1,491;94000590;140113825,44;60;
2021-09-07;1,47;1,485;1,49;1,50;1,47;1,47;1,487;153581153;228294478,46;75;
2021-09-06;1,46;1,47;1,45;1,47;1,44;1,47;1,453;117854456;171227065,38;55;
2021-09-03;1,44;1,45;1,43;1,465;1,42;1,44;1,442;26665955;38453275,45;33;
2021-09-02;1,43;1,44;1,415;1,45;1,415;1,43;1,432;34909415;50061009,72;57;
2021-09-01;1,43;1,44;1,44;1,44;1,42;1,43;1,431;27540515;39397608,92;58;
2021-08-31;1,435;1,45;1,46;1,46;1,415;1,435;1,438;44301867;63701064,41;63;
2021-08-30;1,46;1,47;1,45;1,48;1,44;1,47;1,464;138300579;202444138,02;60;
2021-08-27;1,44;1,45;1,425;1,46;1,425;1,44;1,447;32902446;47613941,77;49;
2021-08-26;1,44;1,45;1,45;1,45;1,43;1,43;1,443;4550651;6567543,31;26;
2021-08-25;1,44;1,45;1,45;1,45;1,43;1,45;1,446;32437846;46887425,48;38;
2021-08-24;1,45;1,465;1,435;1,47;1,435;1,45;1,452;58532688;85003418,55;33;
2021-08-23;1,42;1,435;1,44;1,44;1,41;1,435;1,43;79164747;113191605,01;26;
2021-08-20;1,44;1,45;1,41;1,46;1,41;1,44;1,448;76266126;110322621,96;24;
2021-08-19;1,41;1,44;1,44;1,50;1,41;1,41;1,445;92789430;134047615,29;68;
2021-08-18;1,44;1,46;1,44;1,46;1,42;1,44;1,443;24722493;35684772,85;46;
2021-08-17;1,40;1,45;1,49;1,49;1,39;1,445;1,426;282254012;400566095,41;122;
2021-08-16;1,48;1,49;1,47;1,49;1,47;1,48;1,48;6752158;9995261,38;26;
2021-08-13;1,47;1,50;1,50;1,50;1,46;1,50;1,478;47592636;70327967,22;51;
2021-08-12;1,50;1,515;1,53;1,53;1,485;1,50;1,509;80325505;121203525,56;55;
2021-08-11;1,52;1,54;1,49;1,54;1,49;1,54;1,515;69011801;104567246,99;54;
2021-08-10;1,47;1,485;1,46;1,50;1,45;1,48;1,472;27398482;40334506,13;40;
2021-08-09;1,46;1,48;1,48;1,49;1,46;1,46;1,478;11207414;16563439,39;46;
2021-08-06;1,47;1,475;1,48;1,49;1,45;1,475;1,472;38363340;56473215,39;64;
2021-08-05;1,48;1,495;1,54;1,545;1,475;1,48;1,508;41688608;62862163,8;71;
2021-08-04;1,525;1,54;1,535;1,545;1,525;1,525;1,537;17646700;27081168,93;45;
2021-08-03;1,54;1,55;1,545;1,55;1,525;1,54;1,543;42960994;66283173,8;52;
2021-07-30;1,53;1,545;1,51;1,55;1,51;1,53;1,525;11635472;17751512,29;48;
2021-07-29;1,51;1,53;1,47;1,63;1,47;1,51;1,513;34762892;52574844,93;42;
2021-07-28;1,47;1,49;1,465;1,475;1,44;1,47;1,46;66488755;97094447,96;65;
2021-07-27;1,46;1,465;1,44;1,465;1,44;1,465;1,459;11408541;16642586,79;30;
2021-07-26;1,435;1,45;1,50;1,50;1,40;1,435;1,455;28295867;41165300,84;56;
2021-07-23;1,51;1,53;1,44;1,63;1,44;1,51;1,538;152927615;235190586,84;80;
2021-07-22;1,425;1,43;1,44;1,45;1,40;1,43;1,422;64605225;91887158,02;103;
2021-07-21;1,44;1,455;1,50;1,52;1,44;1,44;1,468;58908860;86459589,44;90;
2021-07-20;1,50;1,52;1,48;1,54;1,47;1,50;1,502;67621980;101539848,57;97;
2021-07-19;1,48;1,50;1,53;1,53;1,40;1,50;1,495;172306082;257941277,18;124;
2021-07-16;1,54;1,55;1,52;1,56;1,50;1,54;1,536;64866832;99605860,88;75;
2021-07-15;1,575;1,59;1,62;1,62;1,56;1,58;1,582;60667930;95983529,63;93;
2021-07-14;1,62;1,635;1,655;1,67;1,615;1,635;1,646;20265784;33359941,09;64;
2021-07-13;1,66;1,68;1,68;1,70;1,655;1,67;1,679;21692729;36420285,62;61;
2021-07-12;1,68;1,695;1,69;1,70;1,67;1,69;1,69;35207300;59483123,38;64;
2021-07-09;1,69;1,70;1,665;1,70;1,63;1,70;1,673;35536985;59578099,36;65;
2021-07-08;1,65;1,66;1,65;1,66;1,63;1,66;1,645;16547555;27223807,78;40;
2021-07-07;1,635;1,65;1,64;1,67;1,63;1,63;1,645;8362286;13755586,85;39;
