sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2021-11-19;840,00;854,00;860,00;860,00;840,00;842,00;845,462;54499;46076812;23;
2021-11-18;854,00;860,00;862,00;868,00;854,00;860,00;857,653;72541;62215014;20;
2021-11-17;870,00;874,00;872,00;874,00;862,00;874,00;871,55;203745;177573898;19;
2021-11-16;870,00;872,00;868,00;870,00;858,00;870,00;869,164;1321806;1148865620;39;
2021-11-15;868,00;872,00;858,00;872,00;858,00;870,00;871,546;499904;435684196;35;
2021-11-12;858,00;870,00;868,00;868,00;852,00;858,00;862,185;384537;331509486;17;
2021-11-11;862,00;874,00;860,00;876,00;860,00;868,00;868,127;691585;600197946;30;
2021-11-10;854,00;866,00;854,00;864,00;848,00;859,00;855,619;498843;426927575,6;30;
2021-11-09;852,00;858,00;854,00;870,00;854,00;854,00;860,442;452066;388976500;26;
2021-11-08;854,00;856,00;858,00;858,00;854,00;854,00;857,083;40450;34669000;6;
2021-11-05;858,00;866,00;856,00;866,00;854,00;860,00;860,837;87841;75616746;11;
2021-11-04;860,00;866,00;874,00;880,00;858,00;860,00;868,751;573933;498604958;34;
2021-11-03;874,00;880,00;890,00;890,00;870,00;884,00;879,995;260834;229532726;25;
2021-11-02;874,00;884,00;862,00;884,00;862,00;884,00;872,218;515085;449381018;41;
2021-11-01;854,00;860,00;864,00;870,00;854,00;854,00;859,188;153341;131748754;46;
2021-10-29;854,00;864,00;838,00;864,00;838,00;864,00;848,637;2150203;1824676158;48;
2021-10-28;842,00;848,00;845,00;850,00;838,00;848,00;844,06;78709;66671520;17;
2021-10-27;840,00;850,00;848,00;850,00;838,00;850,00;843,059;528201;444858046;42;
2021-10-26;846,00;848,00;826,00;848,00;826,00;848,00;829,764;806022;670001098;63;
2021-10-25;824,00;836,00;824,00;836,00;820,00;826,00;827,137;1068634;883907078;88;
2021-10-22;812,00;820,00;832,00;836,00;812,00;812,00;822,01;1257903;1035539536;115;
2021-10-21;832,00;836,00;850,00;850,00;832,00;836,00;835,346;2337584;1950265192;133;
2021-10-20;860,00;870,00;880,00;880,00;860,00;860,00;868,409;397451;345126020;26;
